;1530
__cplusplus;322
_WIN32;320
_LIBCPP_HAS_NO_PRAGMA_SYSTEM_HEADER;224
lint;163
HAVE_CONFIG_H;132
_MSC_VER;125
HAVE_ERRNO_H;97
__CYGWIN__;97
YYSTYPE_IS_DECLARED;96
YYSTYPE;96
YYDEBUG;95
__GNUC__;90
HAVE_STDLIB_H;90
__FreeBSD__;89
HAVE_STRING_H;89
YY_NO_LEAKS;89
YYPURE;88
YYSTACKSIZE;88
__APPLE__;88
YYMAXDEPTH;88
YYERROR_DECL;86
YYLEX_PARAM;86
YYPARSE_PARAM_TYPE;86
YYPARSE_PARAM;86
yylex;86
YYERROR_CALL;86
yysindex;76
yyparse;76
yyerror;76
yydebug;76
yydefred;76
yyrule;76
yydgoto;76
yygindex;76
yyerrflag;76
yycheck;76
yyrindex;76
yyname;76
yylen;76
yytable;76
yychar;76
yyval;76
yylval;76
yylhs;76
yynerrs;76
HAVE_UNISTD_H;70
_LIBCPP_STD_VER;68
__x86_64__;67
__aarch64__;67
__IMMINTRIN_H;66
CRT_HAS_128BIT;62
YYBTYACC;61
__linux__;53
YYLTYPE_IS_DECLARED;51
YYLTYPE;51
YYDESTRUCT_CALL;51
YYSTYPE_TOSTRING;51
YYINITSTACKSIZE;49
YYLLOC_DEFAULT;49
YYLVQUEUEGROWTH;49
__clang__;48
EVENT__HAVE_SYS_TIME_H;47
KR_headers;45
__ARM_EABI__;44
__arm__;44
yystos;43
yycindex;43
yyctable;43
illumos;42
__i386__;40
NDEBUG;38
DEBUG;36
COMPILER_RT_ARMHF_TARGET;34
_LIBCPP_CXX03_LANG;33
_LIBCPP_HAS_NO_RANGES;33
HAVE_LIMITS_H;31
__NetBSD__;31
__MINGW32__;30
__LIBARCHIVE_BUILD;30
HAVE_ZLIB_H;28
HAVE_SYS_TYPES_H;28
BR_UMUL128;28
BR_INT128;28
HAVE_STDINT_H;27
YYBISON;26
HAVE_SYS_STAT_H;26
__BORLANDC__;26
__powerpc64__;26
CRT_LDBL_128BIT;25
__GNUC_MINOR__;24
BR_LOMUL;24
SCCSID;24
_WIN64;24
HAVE_FCNTL_H;23
KEY_RESIZE;23
OPENSSL_VERSION_NUMBER;21
BC_ENABLED;20
ARCHIVE_VERSION_NUMBER;20
SANITIZER_FUCHSIA;20
__X86INTRIN_H;20
SANITIZER_LINUX;19
YYBYACC;19
_AIX;19
__Fuchsia__;19
HAVE_OS_PROTO_H;18
__OpenBSD__;18
BC_ENABLE_EXTRA_MATH;18
__mips__;18
SANITIZER_MAC;18
MSDOS_COMPILER;18
SANITIZER_NETBSD;18
WIN32C;17
DC_ENABLED;17
HAVE_SSL;17
__sparc__;17
SANITIZER_WINDOWS;16
__STDC_VERSION__;16
HAVE_INTTYPES_H;16
__ANDROID__;16
HAVE_STRLCPY;16
Honor_FLT_ROUNDS;16
_GNU_SOURCE;16
EVENT__DISABLE_THREAD_SUPPORT;16
EVENT__HAVE_UNISTD_H;15
SANITIZER_FREEBSD;15
__LP64__;15
NO_LEAKS;15
EVENT__HAVE_SYS_TYPES_H;15
__powerpc__;15
O_BINARY;15
__riscv;15
LIBC_SCCS;15
_LP64;15
__vpcs;15
SANITIZER_WORDSIZE;14
O_CLOEXEC;14
BC_DEBUG_CODE;14
__mips64;14
EVENT__HAVE_SYS_SOCKET_H;14
__ARM_FEATURE_SVE;13
V_SUPPORTED;13
JEMALLOC_JET;13
OS2;13
SANITIZER_ANDROID;13
__s390__;13
WIN32;12
__sun;12
TEST;12
notyet;12
__DragonFly__;12
__svr4__;12
MSDOS;12
S_SPLINT_S;11
BR_POWER8;11
__ppc64__;11
CLEANUP;11
HILITE_SEARCH;11
_M_IX86;11
__STDC__;11
FIDO_FUZZ;11
BR_AES_X86NI;11
BYTE_ORDER;11
sun;11
__ELF__;11
BC_ENABLE_LIBRARY;11
DJGPPC;11
IEEE_MC68k;11
IEEE_8087;11
USE_GLIBC_ABI;11
BC_ENABLE_HISTORY;10
SANITIZER_GO;10
PORTNCURSES;10
HAVE_BZLIB_H;10
SANITIZER_SOLARIS;10
__s390x__;10
PATH_MAX;10
__WATCOMC__;10
__hpux;10
YYSTATE;10
__sun__;10
SANITIZER_RISCV64;10
BR_64;10
HAVE_LZMA_H;10
XML_UNICODE_WCHAR_T;10
NO_HISTORY;9
_M_X64;9
_FIDO_INTERNAL;9
