"sep=,"
define,SD
JEMALLOC_INTERNAL_TSD_TLS_H,1
JEMALLOC_INTERNAL_FFSL,1
TC_VERSION_MINOR,2
LG_SIZEOF_LONG,8
__riscv__,1
LUA_BUILD_AS_DLL,4
USHRT_MAX,3
luai_threadyield,1
LUA_USE_ISATTY,3
REDISMODULE_ATTR_COMMON,3
HAVE_PROC_SOMAXCONN,4
sun386,1
LZF_USE_OFFSETS,7
ULTRA_FAST,8
LG_SIZEOF_PTR,24
__hp9000,1
JEMALLOC_MADVISE_DONTDUMP,2
__sparc64__,1
__linux__,74
TC_VERSION_MAJOR,2
__m68k__,1
__GLIBC_PREREQ,2
mc68000,1
JEMALLOC_PROF_LIBGCC,4
SSL_OP_NO_COMPRESSION,1
LUAC_TRUST_BINARIES,2
__BIG_ENDIAN__,1
_WIN64,14
HAVE_EVPORT,6
HI_SDS_TEST_MAIN,1
snprintf,1
REDIS_TEST_VERBOSE,2
JEMALLOC_OVERRIDE___LIBC_VALLOC,1
HAVE_SYNC_FILE_RANGE,2
SC_LG_TINY_MIN,1
_MIPSEL,1
__hp9000s300,1
cast,1
LUA_USELONGLONG,2
HAVE_CPU_SPINWAIT,2
SIZE_Bx,2
JEMALLOC_PURGE_MADVISE_DONTNEED,6
luaL_setn,2
LUA_USE_MACOSX,1
LUA_USE_APICHECK,2
JEMALLOC_INTERNAL_UNREACHABLE,1
JEMALLOC_DSS,2
JEMALLOC_INTERNAL_FFS,1
_AIX,2
LUA_NUMBER_LONG,3
_MSC_VER,56
JEMALLOC_UTRACE,2
RAX_DEBUG_MSG,2
JEMALLOC_FILL,2
USE_CRYPTO_LOCKS,1
JEMALLOC_HAVE_MADVISE_HUGE,2
__convex__,1
WIN32,6
JEMALLOC_PROF_LIBUNWIND,4
__SH4_SINGLE_ONLY__,1
lua_c,6
__ATOMIC_VAR_FORCE_SYNC_MACROS,6
JEMALLOC_HAVE_CLOCK_MONOTONIC_COARSE,4
LUA_DL_DLOPEN,4
ns32000,1
LUA_USE_POSIX,1
LUA_VERSION_NUM,8
LUA_USE_ULONGJMP,2
unix,10
lua_lock,1
HAVE_EPOLL,4
HIREDIS_TEST_SSL,2
REDISMODULE_CORE,14
tahoe,1
BSD,6
JEMALLOC_MAPS_COALESCE,3
__sparc,4
__SH3E__,1
HAVE_SYSCTL_KIPC_SOMAXCONN,4
JEMALLOC_HAVE_SCHED_SETAFFINITY,2
JEMALLOC_STRERROR_R_RETURNS_CHAR_WITH_GNU_SOURCE,2
BIG_ENDIAN,7
JEMALLOC_OVERRIDE___LIBC_MEMALIGN,1
SYS_close,4
SYS_openat,6
__ELF__,2
__native_client__,4
JEMALLOC_FRAG_HINT,1
ibm032,1
JEMALLOC_OS_UNFAIR_LOCK,11
JEMALLOC_HAVE_PTHREAD_ATFORK,1
__UCLIBC_HAS_BACKTRACE__,1
__STDC_CONSTANT_MACROS,1
WCHAR_MIN,1
USE_REP_MOVSB,2
__amd64,8
LUA_NUMBER_FLOAT,2
UNSAFE_CRASH_REPORT,1
MEXP,15
MAP_NORESERVE,1
OPENSSL_VERSION_NUMBER,5
INFINITY,1
JEMALLOC_HAVE_BUILTIN_CLZ,14
_IBMR2,1
REDIS_NO_SANITIZE,1
__GLIBC__,8
_MSC_STDINT_H_,19
ibm370,1
LUA_COMPAT_MOD,1
UINT_MAX,4
__alpha__,2
REDIS_TEST_MAIN,1
inline,1
LG_SLAB_MAXREGS,2
LUA_USE_MKSTEMP,2
_WIN32_WINNT,4
JEMALLOC_USE_SYSCALL,21
MT19937_64_MAIN,1
JEMALLOC_IS_MALLOC,10
REDISMODULE_ATTR_UNUSED,3
__unix,10
VERY_FAST,6
MADV_FREE,3
__ILP32__,11
LUA_NUMBER_LONG_LONG,3
LONG_MAX,3
MIPSEB,1
__FreeBSD_kernel__,1
MIPSEL,1
JEMALLOC_VERSION_MAJOR,2
__hp9000s700,1
__sparc__,8
PAGES_CAN_PURGE_FORCED,2
LG_PAGE,2
UNALIGNED_LE_CPU,4
LG_SIZEOF_INT,12
CPU_COUNT,10
LITTLE_ENDIAN,9
__BLOCKS__,2
_DTRACE_VERSION,1
REDIS_SOCKCOMPAT_IMPLEMENTATION,1
__APPLE__,97
TLS_DEBUGGING,2
JEMALLOC_GLIBC_MEMALIGN_HOOK,1
not_reached,2
JEMALLOC_HAVE_CLOCK_MONOTONIC,3
JEMALLOC_MALLOC_THREAD_CLEANUP,7
SYS_write,4
USE_BACKTRACE,1
HW_MEMSIZE,8
JEMALLOC_OVERRIDE_MEMALIGN,1
CJSON_VERSION,1
_X86_,2
MISSING_ISINF,1
__sparcv9,1
JEMALLOC_INTERNAL_TSD_MALLOC_THREAD_CLEANUP_H,1
__BYTE_ORDER,6
JEMALLOC_INTERNAL_POPCOUNTL,3
JEMALLOC_ATOMIC_U64,4
LUA_COMPAT_VARARG,1
HAVE_TASKINFO,8
__x86_64__,58
JEMALLOC_PURGE_MADVISE_FREE,6
JEMALLOC_BIG_ENDIAN,5
UNUSED,1
SETPROCTITLE_TEST_MAIN,1
JEMALLOC_SYSCTL_VM_OVERCOMMIT,7
LUA_ANSI,5
SSL_OP_NO_CLIENT_RENEGOTIATION,1
ARENA_RESET_PROF_C_,1
INIT_HTAB,2
JEMALLOC_BACKGROUND_THREAD,11
JEMALLOC_READLINKAT,2
__OpenBSD__,40
LUA_NUMBER_LONGLONG,3
SYS_open,12
__NR_write,1
JEMALLOC_HAS_ALLOCA_H,2
CKH_VERBOSE,1
__riscv,1
ZMALLOC_LIB,4
LUA_COMPAT_GFIND,1
QL_TEST_VERBOSE,2
HAVE_BACKTRACE,57
JEMALLOC_VERSION_MINOR,2
BIT_ZERO_ON_LEFT,1
JEMALLOC_GCC_SYNC_ATOMICS,7
AVOID_ERRNO,3
EV_MULTIPLICITY,2
JEMALLOC_OVERRIDE___LIBC_REALLOC,1
vax,1
strcasecmp,1
JEMALLOC_OVERRIDE___LIBC_FREE,1
__STDC_NO_ATOMICS__,4
HAVE_PROC_OOM_SCORE_ADJ,2
JEMALLOC_JET,4
USE_INTERNAL_ISINF,1
