"sep=,"
signature,TD
(!defined(REDISMODULE_CORE)) && (!defined(REDISMODULE_API)),2
((!(defined(_WIN32))) && (!((defined(JEMALLOC_OS_UNFAIR_LOCK))))) && ((defined(JEMALLOC_MUTEX_INIT_CB))),3
!(defined(HAVE_MALLOC_SIZE)),1
defined(lua_c) || defined(luaall_c),2
(defined(JEMALLOC_JET)) && (RTREE_HEIGHT > 1),2
defined(__linux__),1
(!(defined(_WIN32))) && (defined(JEMALLOC_STRERROR_R_RETURNS_CHAR_WITH_GNU_SOURCE) && defined(_GNU_SOURCE)),3
((defined(JEMALLOC_IS_MALLOC) && defined(JEMALLOC_GLIBC_MALLOC_HOOK)) && (defined(CPU_COUNT))) && (defined(JEMALLOC_OVERRIDE___LIBC_MALLOC)),4
!(defined(HAVE_BACKTRACE)),1
!defined(LZF_USE_OFFSETS),1
(defined(_WIN32)) && (_WIN32_WINNT >= 0x0600),2
defined(__STRICT_ANSI__),1
__STDC_VERSION__ < 199901L,1
defined(__FreeBSD__),1
!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)),2
(!(defined(LUA_USE_POPEN))) && (defined(LUA_WIN)),2
!(__GNUC__ >= 4),1
(ULTRA_FAST || VERY_FAST) && (VERY_FAST && !ULTRA_FAST),2
!(LG_SIZEOF_PTR == 3 || LG_SIZEOF_INT == 3),2
(!(!defined(_WIN32))) && (defined(_MSC_VER)),2
!defined(JEMALLOC_INTERNAL_FFSLL) || !defined(JEMALLOC_INTERNAL_FFSL) || !defined(JEMALLOC_INTERNAL_FFS),3
(!defined(ONLY64)) && (!(defined(__APPLE__))),2
(((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (!(defined(__OpenBSD__)))) && (!(defined(__NetBSD__)))) && (defined(__DragonFly__)),8
defined(JEMALLOC_PROF_LIBUNWIND),1
(((!(defined(JEMALLOC_GCC_ATOMIC_ATOMICS))) && (!(defined(JEMALLOC_GCC_SYNC_ATOMICS)))) && (!(defined(_MSC_VER)))) && (!(defined(JEMALLOC_C11_ATOMICS))),4
(((defined(HAVE_BACKTRACE)) && (defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6))) && (!(defined(__x86_64__)))) && (defined(__i386__)),5
defined(JEMALLOC_BIG_ENDIAN),1
0,0
defined(USE_JEMALLOC),1
defined(ONLY64) && !defined(BIG_ENDIAN64),2
((__STDC_VERSION__ < 199901L) && (!(defined(_MSC_VER)))) && (!(defined(JEMALLOC_HAS_ALLOCA_H))),3
LZF_USE_OFFSETS,1
defined(UNALIGNED_LE_CPU),1
defined(LUA_USE_POSIX),1
(defined(USE_OPENSSL)) && (OPENSSL_VERSION_NUMBER >= 0x10100000L && !defined(LIBRESSL_VERSION_NUMBER)),3
(!defined(_WIN32)) && (!(defined(JEMALLOC_PREFIX))),2
!defined(UNALIGNED_LE_CPU),1
(!(defined(_WIN32))) && (defined(JEMALLOC_OS_UNFAIR_LOCK)),2
(!defined(LG_QUANTUM)) && (defined(__nios2__)),2
!defined(cassert),1
(!(defined(__APPLE__) && defined(__MACH__))) && (defined(__GLIBC__) && !defined(__FreeBSD_kernel__)),4
(defined(_MSC_VER)) && (defined(JEMALLOC_HAS_RESTRICT)),2
!(UINTPTR_MAX == UINT_MAX),2
!defined(HARDSTACKTESTS),1
defined(__APPLE__) && defined(__MACH__),2
defined(JEMALLOC_LOG),1
