"sep=,"
file,signature,ND
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_atomic.h.xml,defined(_MSC_VER),2
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_atomic.h.xml,defined(__ATOMIC_SEQ_CST),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_atomic.h.xml,defined(__x86_64__),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_atomic.h.xml,!(defined(_MSC_VER)) && !(defined(__ATOMIC_SEQ_CST)) && !(defined(__x86_64__)),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.c.xml,defined(_MSC_VER),2
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.c.xml,defined(_MSC_VER),2
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.c.xml,!(defined(_MSC_VER)),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.c.xml,defined(_MSC_VER),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.c.xml,defined(_MSC_VER),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hdr_histogram/hdr_histogram.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/adapters/libev.h.xml,EV_MULTIPLICITY,1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/adapters/libev.h.xml,EV_MULTIPLICITY,1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/adapters/libev.h.xml,EV_MULTIPLICITY,1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/adapters/libev.h.xml,!(EV_MULTIPLICITY),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/alloc.c.xml,defined(_WIN32),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/alloc.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/alloc.h.xml,!defined(_WIN32),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/alloc.h.xml,!(!defined(_WIN32)),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/alloc.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/async.c.xml,!defined(_MSC_VER),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/async.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/async.h.xml,defined(__cplusplus),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/examples/example-ivykis.c.xml,!defined(_WIN32),1
/home/user/cppstats/results/redis_res/_cppstats/redis/deps/hiredis/examples/example-libev.c.xml,!defined(_WIN32),1
