;223
_WIN32;37
REDIS_TEST;26
_MSC_VER;21
__APPLE__;19
__GNUC__;17
__cplusplus;13
__linux__;12
JEMALLOC_JET;12
__FreeBSD__;11
LG_SIZEOF_PTR;9
__x86_64__;9
__sun;8
__i386__;8
__clang__;7
__aarch64__;7
_WIN64;6
JEMALLOC_ATOMIC_U64;6
__NetBSD__;6
USE_OPENSSL;6
JEMALLOC_DEBUG;6
USE_JEMALLOC;6
__DragonFly__;5
_M_IX86;5
JEMALLOC_OS_UNFAIR_LOCK;5
__OpenBSD__;5
JEMALLOC_LAZY_LOCK;5
BYTE_ORDER;5
LUA_VERSION_NUM;4
BIG_ENDIAN;4
__amd64;4
__GLIBC__;4
LITTLE_ENDIAN;4
_M_X64;4
HAVE_DEFRAG;4
_GNU_SOURCE;4
__has_attribute;4
BITMAP_USE_TREE;4
TLS1_3_VERSION;4
__arm64__;4
__i386;4
JEMALLOC_MUTEX_INIT_CB;4
INCLUDE_UNRELEASED_KEYSPEC_API;4
LLONG_MAX;4
_AIX;3
_WIN32_WINNT;3
__sparc__;3
LG_SIZEOF_INT;3
JEMALLOC_BIG_ENDIAN;3
ULONG_MAX;3
__arm__;3
NO_SANITIZE;3
__amd64__;3
__MACH__;3
JEMALLOC_BACKGROUND_THREAD;3
JEMALLOC_PROF;3
ULTRA_FAST;2
JEMALLOC_PROF_LIBGCC;2
JEMALLOC_PURGE_MADVISE_DONTNEED;2
JEMALLOC_PURGE_MADVISE_DONTNEED_ZEROS;2
JEMALLOC_DSS;2
LUA_DEBUG;2
WIN32;2
__sparc;2
__native_client__;2
OPENSSL_VERSION_NUMBER;2
DBL_MANT_DIG;2
UINT_MAX;2
JEMALLOC_USE_SYSCALL;2
MADV_FREE;2
LONG_MAX;2
__PGI;2
not_reached;2
JEMALLOC_MALLOC_THREAD_CLEANUP;2
SYS_write;2
JEMALLOC_OVERRIDE_MEMALIGN;2
LUA_COMPAT_VARARG;2
JEMALLOC_PURGE_MADVISE_FREE;2
INIT_HTAB;2
SYS_open;2
JEMALLOC_GCC_SYNC_ATOMICS;2
AVOID_ERRNO;2
lua_assert;2
USE_ALIGNED_ACCESS;2
HAVE_LIBSYSTEMD;2
JEMALLOC_GCC_ATOMIC_ATOMICS;2
USE_INTERNAL_FPCONV;2
__alpha__;2
LUA_COMPAT_GETN;2
LUA_NUMBER_DOUBLE;2
JEMALLOC_MAPS_COALESCE;2
JEMALLOC_ZONE;2
__CYGWIN__;2
JEMALLOC_GLIBC_MALLOC_HOOK;2
__X86_64__;2
__s390__;2
HAVE_MALLOC_SIZE;2
__ATOMIC_SEQ_CST;2
CKH_COUNT;2
VERY_FAST;2
LZF_STATE_ARG;2
assert_not_implemented;2
UINTPTR_MAX;2
USE_SETCPUAFFINITY;2
ONLY64;2
assert;2
STRICT_ALIGN;2
PAGES_CAN_PURGE_FORCED;2
__STDC_VERSION__;2
JEMALLOC_INTERNAL_POPCOUNTL;2
SIZE_MAX;2
JEMALLOC_TLS;2
JEMALLOC_PTHREAD_CREATE_WRAPPER;2
not_implemented;2
LUAI_BITSINT;2
PAGES_CAN_PURGE_LAZY;2
__HAIKU__;2
_CRT_SPINCOUNT;2
__linux;2
JEMALLOC_OVERRIDE_VALLOC;2
__ia64__;2
USE_TCMALLOC;2
RTREE_HEIGHT;2
__DICT_H;2
CHECK_INPUT;2
